mg_gluta; peg8000; ClpX; ClpP; ATP; sfGFP
6.00;3.00;0.00;0.00;0.00;1.50
6.00;3.00;0.00;0.00;0.00;0.00
14.00;7.50;400.00;400.00;8.00;1.50
6.00;7.50;400.00;400.00;8.00;1.50
14.00;3.00;400.00;400.00;8.00;1.50
14.00;7.50;0.00;400.00;8.00;1.50
14.00;7.50;400.00;0.00;8.00;1.50
14.00;7.50;400.00;400.00;0.00;1.50
14.00;3.00;0.00;0.00;0.00;1.50
6.00;7.50;0.00;0.00;0.00;1.50
6.00;3.00;400.00;0.00;0.00;1.50
6.00;3.00;0.00;400.00;0.00;1.50
6.00;3.00;0.00;0.00;8.00;1.50
14.00;6.00;150.00;100.00;4.00;1.50
9.00;3.00;100.00;250.00;8.00;1.50
